LocationCode,RegistrarOffice
1486,ท้องถิ่นเทศบาลตำบลบางปะอิน
1487,ท้องถิ่นเทศบาลตำบลบางปะหัน
1488,ท้องถิ่นเทศบาลตำบลมหาพราหมณ์
1489,ท้องถิ่นเทศบาลตำบลบางบาล
1490,ท้องถิ่นเทศบาลตำบลราชคราม
1491,ท้องถิ่นเทศบาลตำบลบางไทร
1492,ท้องถิ่นเทศบาลตำบลอรัญญิก
1493,ท้องถิ่นเทศบาลตำบลนครหลวง
1494,ท้องถิ่นเทศบาลตำบลท่าหลวง
1495,ท้องถิ่นเทศบาลเมืองอโยธยา
1496,ท้องถิ่นเทศบาลตำบลเจ้าเจ็ด
1497,ท้องถิ่นเทศบาลตำบลท่าเรือ
1498,ท้องถิ่นเทศบาลเมืองเสนา
1499,ท้องถิ่นเทศบาลนครพระนครศรีอยุธยา
1500,จังหวัดอ่างทอง
1501,อำเภอเมืองอ่างทอง
1502,อำเภอไชโย
1503,อำเภอป่าโมก
1504,อำเภอโพธิ์ทอง
1505,อำเภอแสวงหา
1506,อำเภอวิเศษชัยชาญ
1507,อำเภอสามโก้
1588,ท้องถิ่นเทศบาลตำบลโพสะ
1589,ท้องถิ่นเทศบาลตำบลศาลาแดง
1590,ท้องถิ่นเทศบาลตำบลสามโก้
1591,ท้องถิ่นเทศบาลตำบลวิเศษไชยชาญ
1592,ท้องถิ่นเทศบาลตำบลบางจัก
1593,ท้องถิ่นเทศบาลตำบลแสวงหา
1594,ท้องถิ่นเทศบาลตำบลรำมะสัก
1595,ท้องถิ่นเทศบาลตำบลโพธิ์ทอง
1596,ท้องถิ่นเทศบาลตำบลไชโย
1597,ท้องถิ่นเทศบาลตำบลเกษไชโย
1598,ท้องถิ่นเทศบาลตำบลป่าโมก
1599,ท้องถิ่นเทศบาลเมืองอ่างทอง
1600,จังหวัดลพบุรี
1601,อำเภอเมืองลพบุรี
1602,อำเภอพัฒนานิคม
1603,อำเภอโคกสำโรง
1604,อำเภอชัยบาดาล
1605,อำเภอท่าวุ้ง
1606,อำเภอบ้านหมี่
1607,อำเภอท่าหลวง
1608,อำเภอสระโบสถ์
1609,อำเภอโคกเจริญ
1610,อำเภอลำสนธิ
1611,อำเภอหนองม่วง
1681,ท้องถิ่นเทศบาลตำบลกกโก
1682,ท้องถิ่นเทศบาลตำบลถนนใหญ่
1683,ท้องถิ่นเทศบาลเมืองเขาสามยอด
1684,ท้องถิ่นเทศบาลตำบลท่าศาลา
1685,ท้องถิ่นเทศบาลตำบลดีลัง
1686,ท้องถิ่นเทศบาลตำบลเขาพระงาม
1687,ท้องถิ่นเทศบาลตำบลหนองม่วง
1688,ท้องถิ่นเทศบาลตำบลสระโบสถ์
1689,ท้องถิ่นเทศบาลตำบลบ้านท่าหลวง
1690,ท้องถิ่นเทศบาลตำบลท่าวุ้ง
1691,ท้องถิ่นเทศบาลตำบลท่าโขลง
1692,ท้องถิ่นเทศบาลตำบลลำนารายณ์
1693,ท้องถิ่นเทศบาลตำบลหนองม่วง
1694,ท้องถิ่นเทศบาลตำบลพัฒนานิคม
1695,ท้องถิ่นเทศบาลตำบลแก่งเสือเต้น
1696,ท้องถิ่นเทศบาลตำบลโคกตูม
1697,ท้องถิ่นเทศบาลตำบลโคกสำโรง
1698,ท้องถิ่นเทศบาลเมืองบ้านหมี่
1699,ท้องถิ่นเทศบาลเมืองลพบุรี
1700,จังหวัดสิงห์บุรี
1701,อำเภอเมืองสิงห์บุรี
1702,อำเภอบางระจัน
1703,อำเภอค่ายบางระจัน
1704,อำเภอพรหมบุรี
1705,อำเภอท่าช้าง
1706,อำเภออินทร์บุรี
1793,ท้องถิ่นเทศบาลตำบลอินทร์บุรี
1794,ท้องถิ่นเทศบาลตำบลถอนสมอ
1795,ท้องถิ่นเทศบาลตำบลพรหมบุรี
1796,ท้องถิ่นเทศบาลตำบลบางน้ำเชี่ยว
1797,ท้องถิ่นเทศบาลตำบลโพสังโฆ
1798,ท้องถิ่นเทศบาลเมืองบางระจัน
1799,ท้องถิ่นเทศบาลเมืองสิงห์บุรี
1800,จังหวัดชัยนาท
1801,อำเภอเมืองชัยนาท
1802,อำเภอมโนรมย์
1803,อำเภอวัดสิงห์
1804,อำเภอสรรพยา
1805,อำเภอสรรคบุรี
1806,อำเภอหันคา
1807,อำเภอหนองมะโมง
1808,อำเภอเนินขาม
1809,กิ่งอำเภอศรีหนองแซง
1880,ท้องถิ่นเทศบาลตำบลบางหลวง
1881,ท้องถิ่นเทศบาลตำบลนางลือ
1882,ท้องถิ่นเทศบาลตำบลเสือโฮก
1883,ท้องถิ่นเทศบาลตำบลหาดท่าเสา
1884,ท้องถิ่นเทศบาลตำบลชัยนาท
1885,ท้องถิ่นเทศบาลตำบลบ้านกล้วย
1886,ท้องถิ่นเทศบาลตำบลสรรคบุรี
1887,ท้องถิ่นเทศบาลตำบลหนองแซง
1888,ท้องถิ่นเทศบาลตำบลดงคอน
1889,ท้องถิ่นเทศบาลตำบลวังตะเคียน
1890,ท้องถิ่นเทศบาลตำบลเนินขาม
1891,ท้องถิ่นเทศบาลตำบลหันคา
1892,ท้องถิ่นเทศบาลตำบลสามง่ามท่าโบสถ์
1893,ท้องถิ่นเทศบาลตำบลแพรกศรีราชา
1894,ท้องถิ่นเทศบาลตำบลสรรพยา
1895,ท้องถิ่นเทศบาลตำบลโพธิ์พิทักษ์
1896,ท้องถิ่นเทศบาลตำบลหางน้ำสาคร
1897,ท้องถิ่นเทศบาลตำบลคุ้งสำเภา
1898,ท้องถิ่นเทศบาลตำบลวัดสิงห์
1899,ท้องถิ่นเทศบาลเมืองชัยนาท
1900,จังหวัดสระบุรี
1901,อำเภอเมืองสระบุรี
1902,อำเภอแก่งคอย
1903,อำเภอหนองแค
1904,อำเภอวิหารแดง
1905,อำเภอหนองแซง
1906,อำเภอบ้านหมอ
1907,อำเภอดอนพุด
1908,อำเภอหนองโดน
1909,อำเภอพระพุทธบาท
1910,อำเภอเสาไห้
1911,อำเภอมวกเหล็ก
1912,อำเภอวังม่วง
1913,อำเภอเฉลิมพระเกียรติ
1974,ท้องถิ่นเทศบาลตำบลพุกร่าง
1975,ท้องถิ่นเทศบาลตำบลคำพราน
